pair,building,mep_2x3,mep_ifc4,clashes_2x3,clashes_ifc4,delta_clashes,delta_%
8/13,west_riverside mechanical,8732,8732,41174,41128,46,0.11
9/14,west_riverside plumbing,4308,4308,21800,21800,0,0.00
